epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1751.61,1.24165,4.64402,1.04475,0.5039,0.10899,0.06298,0.046,1.09235,4.26991,0.9348,7.92292e-05,7.92292e-05,7.92292e-05
2,3825.13,1.17417,3.22897,1.00894,0.45462,0.2157,0.13881,0.09992,1.04492,3.88666,0.94651,0.000150714,0.000150714,0.000150714
3,5584.2,1.13378,2.66541,1.01294,0.42463,0.27751,0.21303,0.14923,0.99227,2.84085,0.92491,0.000214344,0.000214344,0.000214344
4,25536.3,1.0978,2.32668,0.99966,0.50159,0.30826,0.2607,0.18063,0.988,2.59378,0.93763,0.000202657,0.000202657,0.000202657
5,30405.1,1.07208,2.07374,0.98168,0.45768,0.3601,0.31761,0.22155,0.96575,2.28561,0.91992,0.000190876,0.000190876,0.000190876
6,32363.7,1.04753,1.94065,0.97724,0.59561,0.40535,0.37014,0.26317,0.91627,2.09705,0.90556,0.000179095,0.000179095,0.000179095
7,34360,1.01693,1.75998,0.97113,0.57195,0.45199,0.41231,0.28512,0.9182,1.94674,0.91322,0.000167314,0.000167314,0.000167314
8,56323.3,0.99689,1.68636,0.95931,0.62442,0.4354,0.4382,0.31157,0.90445,1.83471,0.90088,0.000155533,0.000155533,0.000155533
9,58234.1,0.9834,1.58195,0.95445,0.60389,0.48986,0.47211,0.33412,0.88523,1.67186,0.89674,0.000143752,0.000143752,0.000143752
10,81378.1,0.97833,1.47722,0.95674,0.57964,0.49454,0.47015,0.33603,0.8738,1.64232,0.89902,0.000131971,0.000131971,0.000131971
11,83610.6,0.96443,1.36191,0.92942,0.66436,0.49007,0.51577,0.36956,0.87038,1.54568,0.89616,0.00012019,0.00012019,0.00012019
12,86016.7,0.94381,1.26009,0.92173,0.68524,0.52147,0.53601,0.38661,0.85878,1.51029,0.89103,0.000108409,0.000108409,0.000108409
13,88023.4,0.93539,1.18476,0.9142,0.69554,0.53645,0.55434,0.40313,0.8465,1.50656,0.88276,9.6628e-05,9.6628e-05,9.6628e-05
14,90321.7,0.91548,1.10787,0.91109,0.72036,0.54679,0.57428,0.42135,0.84828,1.36558,0.88441,8.4847e-05,8.4847e-05,8.4847e-05
15,98795.8,0.90744,1.07159,0.91065,0.69297,0.58807,0.61656,0.45471,0.8332,1.39774,0.87748,7.3066e-05,7.3066e-05,7.3066e-05
16,100635,0.88953,1.00877,0.89939,0.63181,0.6325,0.62694,0.4612,0.83129,1.34017,0.87739,6.1285e-05,6.1285e-05,6.1285e-05
17,102429,0.89169,0.97841,0.90242,0.67742,0.60696,0.62361,0.45531,0.82182,1.34816,0.87559,4.9504e-05,4.9504e-05,4.9504e-05
18,107236,0.86798,0.94759,0.89562,0.73354,0.586,0.63471,0.46943,0.81278,1.33891,0.87321,3.7723e-05,3.7723e-05,3.7723e-05
19,115354,0.87112,0.92227,0.89358,0.71966,0.6151,0.64708,0.47888,0.81199,1.29682,0.87056,2.5942e-05,2.5942e-05,2.5942e-05
20,119698,0.85737,0.90026,0.89218,0.7297,0.59965,0.64523,0.47812,0.80892,1.27974,0.87,1.4161e-05,1.4161e-05,1.4161e-05
